city_pooled
bacau (RO)
banja_luka (BA)
belgrade (RS)
bucharest (RO)
city1 (HU)
city10 (HU)
city11 (HU)
city13 (HU)
city14 (HU)
city16 (HU)
city17 (HU)
city18 (HU)
city20 (HU)
city21 (HU)
city5 (HU)
city7 (HU)
city8 (HU)
city9 (HU)
cluj_napoca (RO)
kragujevac (RS)
lasi (RO)
miercurea_ciuc (RO)
nis (RS)
novi_sad (RS)
odorheiu_secuiesc (RO)
other_country_outside_europe
podgorica (ME)
pozarevac (RS)
prijedor (BA)
satu_mare (RO)
sremska_kamenica (RS)
targoviste (RO)
targu_mures (RO)
timisoara (RO)
unknown (HU)
unknown (RO)
uzice (RS)
