Numbers	Colour_name	Colours_hex	Colours	Phage_combinations	Fig6A_number	Fig6A_name	Fig6B_number	Fig6B_name	Fig6C_number	Fig6C_name	Fig6D_number	Fig6D_name	Fig6Eaci_axis_number	Fig6Eaci_axis_name	Fig6Ephage_axis_number	Fig6Ephage_axis_name	Fig6F_number	Fig6F_name	Fig6Faxis_number	Fig6Faxis_name	Fig6G_number	Fig6G_name	Fig7A1st_number	Fig7A1st_name	Fig7A2nd_number	Fig7A2nd_name	Fig7A3rd_number	Fig7A3rd_name	Fig7Alegend_number	Fig7Alegend_name	Fig7Baci_axis_number	Fig7Baci_axis_name	Fig7C_number	Fig7C_name	Fig7D_number	Fig7D_name
1	gray	#666666		wt_untreated	1	untreated	1	untreated	1	untreated			1	Aci 110					1	Aci 110	5	wt	2	Aci 110	2	Aci 110	2	Aci 110	2	Aci 110 wt			2	Aci 110	1	Aci 15
2	bright_spring	#EF3E54		H	2	H	3	H			1	H^R	2	A110-1	4	H	1	H	2	A110-1	1	H<sup>R</sup>	3	A110-1					3	A110-1 H<sup>R</sup>	2	A107-E1	3	A110-1	2	Aci 15 + H
3	light_spring	#CAE084		S	3	S	2	S			2	S^R			3	S	2	S																		
4	true_winter	#234AA6		F											2	F	3	F																		
5	soft_summer	#E6A4B5		Ph											1	Ph	4	Ph																		
6	true_autumn	#EFAE3D		HS	4	HS	4	HS			3	HS^R	3	A110-2					3	A110-2	2	HS<sup>R</sup>			3	A110-2			4	A110-2 HS<sup>R</sup>			4	Aci 110 + HS		
7	dark_autumn	#646B3B		HSPo			5	HSPo																												
8	bright_winter	#CE2493		HSPh			6	HSPh																												
9	light_summer	#81C9B7		HSN			7	HSN																												
10	dark_winter	#235B4F		HSF			8	HSF			4	HSF^R									3	HSF<sup>R</sup>														
11	true_spring	#FBCB32		HSFPo			10	HSFPo																												
12	true_summer	#98BEE5		HSFPh			9	HSFPh	2	HSFPh	5	HSFPh^R	4	A110-G1					4	A110-G1	4	HSFPh<sup>R</sup>					3	A110-G1	5	A110-G1 HSFPh<sup>R</sup>	1	A110-G1	5	Aci 110 + HSFPh	3	Aci 15 + HSFPh
13		#A67B5B																					1	PBS	1	PBS	1	PBS	1	PBS			1	PBS		
