to	to_aggregated	tip_count	intro_count	cities_in_country	domestic	between_focal	non_focal
city11 (HU)	capital (HU)	97	8.997	15	0.729	0.099	0.173
city18 (HU)	not_capital (HU)	51	3.1	15	0.871	0	0.129
belgrade (RS)	capital (RS)	44	12.25	7	0.233	0.094	0.673
bucharest (RO)	capital (RO)	25	5.257	11	0.339	0.103	0.558
targu_mures (RO)	not_capital (RO)	25	9.554	11	0.605	0.221	0.174
novi_sad (RS)	not_capital (RS)	20	7.696	7	0.661	0.064	0.274
timisoara (RO)	not_capital (RO)	10	3.222	11	0.81	0.19	0
cluj_napoca (RO)	not_capital (RO)	9	3	11	0.667	0.333	0
city1 (HU)	not_capital (HU)	8	2	15	0.5	0.5	0
city21 (HU)	not_capital (HU)	8	2.442	15	0.636	0	0.364
city10 (HU)	not_capital (HU)	7	1	15	0	0	1
odorheiu_secuiesc (RO)	not_capital (RO)	7	3.135	11	0.622	0.08	0.298
city8 (HU)	not_capital (HU)	6	0.999	15	0.667	0	0.333
podgorica (ME)	capital (ME)	6	4.31	1	0	0.93	0.07
prijedor (BA)	not_capital (BA)	6	2.745	2	0.268	0.449	0.283
city13 (HU)	not_capital (HU)	4	0.999	15	1	0	0
city5 (HU)	not_capital (HU)	4	3	15	1	0	0
banja_luka (BA)	not_capital (BA)	3	2.717	2	0.148	0.269	0.583
satu_mare (RO)	not_capital (RO)	3	2.124	11	0.902	0.098	0
city17 (HU)	not_capital (HU)	2	1.1	15	0.636	0	0.364
kragujevac (RS)	not_capital (RS)	2	1.16	7	0.25	0.707	0.043
miercurea_ciuc (RO)	not_capital (RO)	2	1	11	0.75	0.25	0
pozarevac (RS)	not_capital (RS)	2	1	7	1	0	0
sremska_kamenica (RS)	not_capital (RS)	2	1	7	1	0	0
bacau (RO)	not_capital (RO)	1	0.999	11	0.667	0.333	0
city14 (HU)	not_capital (HU)	1	1	15	1	0	0
city16 (HU)	not_capital (HU)	1	1	15	0	1	0
city20 (HU)	not_capital (HU)	1	1	15	1	0	0
city7 (HU)	not_capital (HU)	1	1	15	1	0	0
city9 (HU)	not_capital (HU)	1	1	15	1	0	0
lasi (RO)	not_capital (RO)	1	0.999	11	0	0	1
nis (RS)	not_capital (RS)	1	1	7	1	0	0
other (HU)	not_capital (HU)	1	1	15	0.4	0	0.6
other (RO)	not_capital (RO)	1	1	11	1	0	0
targoviste (RO)	not_capital (RO)	1	1.135	11	0.47	0	0.53
uzice (RS)	not_capital (RS)	1	1	7	1	0	0
