from	from_aggregated	from_country	to	to_aggregated	to_country	weight	Question1	Question2A	Question2B
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	other_european_country	other_european_country	other_european_country	77.171	NA	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	belgrade (RS)	capital (RS)	(RS)	4.5	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	lasi (RO)	not_capital (RO)	(RO)	0.666	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	0.467	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	targoviste (RO)	not_capital (RO)	(RO)	0.134	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	bucharest (RO)	capital (RO)	(RO)	2.466	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	other_southern_european_country	other_southern_european_country	other_southern_european_country	28.5	NA	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	city21 (HU)	not_capital (HU)	(HU)	0.111	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	targu_mures (RO)	not_capital (RO)	(RO)	0.666	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	city11 (HU)	capital (HU)	(HU)	0.777	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	novi_sad (RS)	not_capital (RS)	(RS)	1.5	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	other_eastern_european_country	other_eastern_european_country	other_eastern_european_country	6.667	NA	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	banja_luka (BA)	not_capital (BA)	(BA)	0.777	non_focal	NA	NA
other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	prijedor (BA)	not_capital (BA)	(BA)	0.333	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	3.828	NA	NA	NA
other_european_country	other_european_country	other_european_country	belgrade (RS)	capital (RS)	(RS)	1.75	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	lasi (RO)	not_capital (RO)	(RO)	0.333	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	0.467	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	targoviste (RO)	not_capital (RO)	(RO)	0.467	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	bucharest (RO)	capital (RO)	(RO)	0.467	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	other_southern_european_country	other_southern_european_country	other_southern_european_country	7.35	NA	NA	NA
other_european_country	other_european_country	other_european_country	city21 (HU)	not_capital (HU)	(HU)	0.666	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	targu_mures (RO)	not_capital (RO)	(RO)	1	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	podgorica (ME)	capital (ME)	(ME)	0.25	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	city11 (HU)	capital (HU)	(HU)	0.666	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	novi_sad (RS)	not_capital (RS)	(RS)	0.5	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	other_eastern_european_country	other_eastern_european_country	other_eastern_european_country	2.25	NA	NA	NA
other_european_country	other_european_country	other_european_country	banja_luka (BA)	not_capital (BA)	(BA)	0.444	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	prijedor (BA)	not_capital (BA)	(BA)	0.333	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	city18 (HU)	not_capital (HU)	(HU)	0.2	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	city8 (HU)	not_capital (HU)	(HU)	0.333	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	other (HU)	not_capital (HU)	(HU)	0.3	non_focal	NA	NA
other_european_country	other_european_country	other_european_country	city17 (HU)	not_capital (HU)	(HU)	0.2	non_focal	NA	NA
belgrade (RS)	capital (RS)	(RS)	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	0.167	NA	NA	NA
belgrade (RS)	capital (RS)	(RS)	other_european_country	other_european_country	other_european_country	3.167	NA	NA	NA
belgrade (RS)	capital (RS)	(RS)	other_southern_european_country	other_southern_european_country	other_southern_european_country	1.167	NA	NA	NA
belgrade (RS)	capital (RS)	(RS)	podgorica (ME)	capital (ME)	(ME)	2	between_focal	NA	international
belgrade (RS)	capital (RS)	(RS)	novi_sad (RS)	not_capital (RS)	(RS)	5	domestic	with_capital	domestic
belgrade (RS)	capital (RS)	(RS)	uzice (RS)	not_capital (RS)	(RS)	1	domestic	with_capital	domestic
belgrade (RS)	capital (RS)	(RS)	pozarevac (RS)	not_capital (RS)	(RS)	1	domestic	with_capital	domestic
belgrade (RS)	capital (RS)	(RS)	sremska_kamenica (RS)	not_capital (RS)	(RS)	0.5	domestic	with_capital	domestic
belgrade (RS)	capital (RS)	(RS)	nis (RS)	not_capital (RS)	(RS)	0.5	domestic	with_capital	domestic
lasi (RO)	not_capital (RO)	(RO)	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	0.067	NA	NA	NA
lasi (RO)	not_capital (RO)	(RO)	other_european_country	other_european_country	other_european_country	0.067	NA	NA	NA
lasi (RO)	not_capital (RO)	(RO)	odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	0.067	domestic	no_capital	domestic
lasi (RO)	not_capital (RO)	(RO)	targoviste (RO)	not_capital (RO)	(RO)	0.067	domestic	no_capital	domestic
lasi (RO)	not_capital (RO)	(RO)	bucharest (RO)	capital (RO)	(RO)	0.067	domestic	with_capital	domestic
odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	0.067	NA	NA	NA
odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	other_european_country	other_european_country	other_european_country	0.467	NA	NA	NA
odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	targoviste (RO)	not_capital (RO)	(RO)	0.067	domestic	no_capital	domestic
odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	bucharest (RO)	capital (RO)	(RO)	0.067	domestic	with_capital	domestic
odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	miercurea_ciuc (RO)	not_capital (RO)	(RO)	0.5	domestic	no_capital	domestic
targoviste (RO)	not_capital (RO)	(RO)	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	0.067	NA	NA	NA
targoviste (RO)	not_capital (RO)	(RO)	other_european_country	other_european_country	other_european_country	0.134	NA	NA	NA
targoviste (RO)	not_capital (RO)	(RO)	odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	0.067	domestic	no_capital	domestic
targoviste (RO)	not_capital (RO)	(RO)	bucharest (RO)	capital (RO)	(RO)	0.4	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	0.067	NA	NA	NA
bucharest (RO)	capital (RO)	(RO)	other_european_country	other_european_country	other_european_country	1.134	NA	NA	NA
bucharest (RO)	capital (RO)	(RO)	odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	0.067	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	targoviste (RO)	not_capital (RO)	(RO)	0.4	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	targu_mures (RO)	not_capital (RO)	(RO)	3.333	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	podgorica (ME)	capital (ME)	(ME)	1	between_focal	NA	international
bucharest (RO)	capital (RO)	(RO)	other (RO)	not_capital (RO)	(RO)	1	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	city16 (HU)	not_capital (HU)	(HU)	1	between_focal	NA	international
bucharest (RO)	capital (RO)	(RO)	cluj_napoca (RO)	not_capital (RO)	(RO)	1	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	city11 (HU)	capital (HU)	(HU)	0.333	between_focal	NA	international
bucharest (RO)	capital (RO)	(RO)	satu_mare (RO)	not_capital (RO)	(RO)	0.625	domestic	with_capital	domestic
bucharest (RO)	capital (RO)	(RO)	bacau (RO)	not_capital (RO)	(RO)	0.25	domestic	with_capital	domestic
other_southern_european_country	other_southern_european_country	other_southern_european_country	other_country_outside_europe	other_country_outside_europe	other_country_outside_europe	12	NA	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	other_european_country	other_european_country	other_european_country	26.794	NA	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	belgrade (RS)	capital (RS)	(RS)	2	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	city10 (HU)	not_capital (HU)	(HU)	1	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	city21 (HU)	not_capital (HU)	(HU)	0.111	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	podgorica (ME)	capital (ME)	(ME)	0.05	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	city11 (HU)	capital (HU)	(HU)	0.111	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	novi_sad (RS)	not_capital (RS)	(RS)	0.112	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	other_eastern_european_country	other_eastern_european_country	other_eastern_european_country	1	NA	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	banja_luka (BA)	not_capital (BA)	(BA)	0.362	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	prijedor (BA)	not_capital (BA)	(BA)	0.112	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	kragujevac (RS)	not_capital (RS)	(RS)	0.05	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	city18 (HU)	not_capital (HU)	(HU)	0.2	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	other (HU)	not_capital (HU)	(HU)	0.3	non_focal	NA	NA
other_southern_european_country	other_southern_european_country	other_southern_european_country	city17 (HU)	not_capital (HU)	(HU)	0.2	non_focal	NA	NA
city10 (HU)	not_capital (HU)	(HU)	city21 (HU)	not_capital (HU)	(HU)	0.666	domestic	no_capital	domestic
city10 (HU)	not_capital (HU)	(HU)	city13 (HU)	not_capital (HU)	(HU)	0.666	domestic	no_capital	domestic
city21 (HU)	not_capital (HU)	(HU)	other_european_country	other_european_country	other_european_country	0.555	NA	NA	NA
city21 (HU)	not_capital (HU)	(HU)	city13 (HU)	not_capital (HU)	(HU)	0.333	domestic	no_capital	domestic
city21 (HU)	not_capital (HU)	(HU)	city11 (HU)	capital (HU)	(HU)	0.555	domestic	with_capital	domestic
city21 (HU)	not_capital (HU)	(HU)	city8 (HU)	not_capital (HU)	(HU)	0.333	domestic	no_capital	domestic
city13 (HU)	not_capital (HU)	(HU)	city21 (HU)	not_capital (HU)	(HU)	0.333	domestic	no_capital	domestic
targu_mures (RO)	not_capital (RO)	(RO)	odorheiu_secuiesc (RO)	not_capital (RO)	(RO)	1.25	domestic	no_capital	domestic
targu_mures (RO)	not_capital (RO)	(RO)	bucharest (RO)	capital (RO)	(RO)	0.416	domestic	with_capital	domestic
targu_mures (RO)	not_capital (RO)	(RO)	cluj_napoca (RO)	not_capital (RO)	(RO)	1	domestic	no_capital	domestic
targu_mures (RO)	not_capital (RO)	(RO)	timisoara (RO)	not_capital (RO)	(RO)	1.111	domestic	no_capital	domestic
