time	untreated_1	untreated_2	untreated_3	untreated_4	untreated_5	untreated_6	untreated_7	untreated_8	untreated_9	untreated_10	untreated_11	untreated_12	untreated_13	untreated_14	untreated_15	untreated_16	untreated_17	untreated_18	untreated_19	untreated_20	untreated_21	untreated_22	untreated_23	untreated_24	untreated_25	untreated_26	untreated_27	untreated_28	untreated_29	untreated_30	untreated_31	untreated_32	untreated_33	untreated_34	untreated_35	untreated_36	untreated_37	untreated_38	untreated_39	untreated_40	untreated_41	HS_1	HS_2	HS_3	HS_4	HS_5	HS_6	HS_7	HS_8	HS_9	HS_10	HS_11	HS_12	HS_13	HS_14	HS_15	HS_16	HS_17	HS_18	HS_19	HS_20	HS_21	HS_22	HS_23	HS_24	HS_25	HS_26	HS_27	HS_28	HS_29	HS_30	HS_31	HS_32	HS_33	HS_34	HS_35	HS_36	HS_37	HS_38	HS_39	HS_40	HS_41	H_1	H_2	H_3	H_4	H_5	H_6	H_7	H_8	H_9	H_10	H_11	H_12	H_13	H_14	H_15	H_16	H_17	H_18	H_19	H_20	H_21	H_22	H_23	H_24	H_25	H_26	H_27	H_28	H_29	H_30	H_31	H_32	H_33	H_34	H_35	H_36	H_37	H_38	H_39	H_40	H_41	S_1	S_2	S_3	S_4	S_5	S_6	S_7	S_8	S_9	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_27	S_28	S_29	S_30	S_31	S_32	S_33	S_34	S_35	S_36	S_37	S_38	S_39	S_40	S_41
00:00	0.190429	0.174875	0.1784	0.155667	0.174143	0.175	0.175167	0.1781	0.15925	0.173	0.13775	0.15275	0.15775	0.1743	0.173429	0.161143	0.16825	0.168667	0.14425	0.16	0.163	0.16	0.1755	0.18	0.156667	0.161714	0.1715	0.170938	0.180667	0.167333	0.179333	0.173667	0.17	0.160667	0.194222	0.191556	0.183333	0.191333	0.180333	0.185889	0.175333	0.187	0.1746	0.1758	0.16925	0.17075	0.1852	0.177333333	0.180142857	0.162333	0.16625	0.148333	0.161667	0.162667	0.16575	0.173	0.198333	0.172667	0.16875	0.152667	0.188	0.177333	0.174	0.177333	0.203	0.161166667	0.164	0.166333	0.170667	0.182333	0.166333	0.180667	0.178667	0.170667	0.161667	0.182333	0.196333	0.177333	0.179333	0.167333	0.171667	0.179	0.196666667	0.166	0.171666667	0.174	0.185	0.174	0.182666667	0.185	0.164333333	0.171333333	0.145666667	0.158	0.159666667	0.164333333	0.171833333	0.235666667	0.186	0.167666667	0.176	0.2006667	0.203	0.1896667	0.204333333	0.212666667	0.161	0.163	0.167333333	0.167333333	0.182333333	0.164666667	0.1806667	0.174666667	0.17	0.163	0.184833333	0.177666667	0.17	0.178833333	0.163666667	0.172333333	0.176	0.194	0.165333	0.170333	0.137667	0.18	0.173	0.185333	0.1845	0.162333	0.171333	0.146333	0.161	0.162333	0.164	0.173333333	0.208	0.182667	0.167333	0.172	0.187333	0.195667	0.183667	0.197	0.207333333	0.160167	0.161333333	0.165833	0.168667	0.180333	0.165	0.180333	0.178667	0.170667	0.162667	0.182	0.194333	0.176667	0.181	0.169833333	0.169	0.177
00:20	0.196714	0.180375	0.187	0.162583	0.182143	0.17775	0.1795	0.1839	0.16775	0.179923	0.14375	0.1575	0.1645	0.1846	0.180286	0.164429	0.174	0.178	0.14475	0.167667	0.17325	0.1655	0.1745	0.17425	0.163667	0.165857	0.1775	0.177188	0.182333	0.170667	0.185667	0.181	0.176	0.169	0.197444	0.194	0.186111	0.193	0.185889	0.188667	0.189667	0.1882	0.1788	0.1814	0.1745	0.17375	0.1888	0.183333333	0.183142857	0.162667	0.175	0.151333	0.163333	0.160667	0.1695	0.178167	0.184	0.159333	0.1755	0.149333	0.177333	0.178667	0.168667	0.183333	0.189667	0.1675	0.1675	0.170333	0.173667	0.183	0.169	0.184667	0.181333	0.175	0.169	0.187	0.2	0.181333	0.184	0.171	0.176	0.184667	0.194	0.171333333	0.176333333	0.181333333	0.186	0.176666667	0.185	0.189666667	0.166666667	0.171333333	0.149	0.163333333	0.162	0.168666667	0.1765	0.201333333	0.164	0.18	0.155333333	0.181	0.187333333	0.1726667	0.188333333	0.190666667	0.166	0.167666667	0.171	0.173333333	0.188	0.173666667	0.187	0.178666667	0.175333333	0.167	0.192833333	0.184666667	0.176	0.185	0.17	0.178666667	0.183666667	0.194667	0.169	0.171	0.145667	0.184333	0.173667	0.185667	0.187	0.164	0.176667	0.148333	0.162667	0.161333	0.164667	0.176833333	0.183333	0.163333	0.176667	0.151	0.180333	0.182	0.171667	0.184	0.19	0.165	0.166833333	0.171167	0.173833	0.182667	0.169333	0.183667	0.181667	0.173667	0.168667	0.188	0.197667	0.181667	0.186	0.177	0.173667	0.181667
00:40	0.207143	0.1875	0.1997	0.171833	0.189714	0.18675	0.188667	0.1943	0.177	0.191154	0.1515	0.165	0.17625	0.199	0.188857	0.172143	0.1845	0.1905	0.15475	0.177333	0.18425	0.17675	0.1875	0.18175	0.173	0.175714	0.187125	0.186891	0.19	0.182333	0.191333	0.19	0.185667	0.179333	0.207111	0.204444	0.196444	0.202889	0.196222	0.194667	0.204444	0.1922	0.184	0.1868	0.1785	0.1785	0.1958	0.190666667	0.190142857	0.168	0.186	0.158667	0.169333	0.169667	0.17725	0.188167	0.192	0.167	0.178	0.158	0.19	0.188333	0.177333	0.193667	0.198667	0.177	0.176333	0.1785	0.1825	0.191333	0.178333	0.193	0.187333	0.178333	0.177667	0.197	0.21	0.189	0.192	0.180667	0.186333	0.192667	0.204666667	0.176333333	0.182666667	0.192666667	0.191666667	0.181333333	0.198	0.194	0.173333333	0.178666667	0.159333333	0.170333333	0.172333333	0.177666667	0.186666667	0.215	0.172	0.194	0.164	0.1903333	0.196	0.1796667	0.197666667	0.198333333	0.177666667	0.180166667	0.179833333	0.1835	0.194666667	0.181333333	0.1973333	0.181666667	0.181666667	0.179333333	0.200833333	0.1945	0.186666667	0.194333333	0.178666667	0.185	0.189666667	0.203	0.173333	0.176333	0.151667	0.194333	0.179667	0.191333	0.192833	0.169	0.186	0.155	0.168667	0.170333	0.173667	0.187333333	0.195	0.169667	0.191667	0.160667	0.188333	0.195	0.182333	0.193333	0.198666667	0.175333	0.175666667	0.177167	0.182	0.189	0.176	0.192	0.189	0.185	0.179333	0.198	0.209333	0.189	0.194333	0.188833333	0.181333	0.191667
01:00	0.221857	0.201875	0.214	0.1835	0.201714	0.19775	0.200333	0.2065	0.18675	0.204538	0.15875	0.17125	0.18725	0.2143	0.199571	0.183143	0.19875	0.201	0.16425	0.192667	0.198	0.18775	0.20225	0.192	0.184333	0.183857	0.20175	0.200719	0.199333	0.192333	0.203667	0.204	0.198	0.193333	0.220444	0.217	0.208222	0.214667	0.208889	0.204667	0.220222	0.1984	0.1938	0.1936	0.1805	0.1845	0.2006	0.199	0.193285714	0.173333	0.19375	0.165	0.175	0.179	0.18375	0.1965	0.205	0.178	0.18	0.168333	0.202333	0.200667	0.187667	0.207667	0.207333	0.182333333	0.184833	0.185167	0.19	0.196333	0.182333	0.199333	0.186	0.176333	0.185	0.196667	0.214667	0.196333	0.199	0.187333	0.191667	0.196333	0.214333333	0.186666667	0.192666667	0.197333333	0.205	0.191333333	0.206666667	0.2035	0.181666667	0.191333333	0.170333333	0.179333333	0.182666667	0.189666667	0.197166667	0.223333333	0.188666667	0.21	0.178	0.2016667	0.206333333	0.193	0.207	0.206666667	0.1905	0.193166667	0.194166667	0.197166667	0.201666667	0.193333333	0.2086667	0.181333333	0.177	0.192	0.203666667	0.196666667	0.194166667	0.2075	0.188666667	0.194666667	0.197333333	0.212	0.183	0.186667	0.158	0.204333	0.184667	0.201667	0.202833	0.176	0.194	0.162333	0.173	0.178667	0.178	0.1985	0.202333	0.184	0.204667	0.166333	0.203667	0.202333	0.190667	0.211667	0.207	0.185667	0.185333333	0.184833	0.187333	0.195	0.181	0.202667	0.2	0.192	0.191667	0.207667	0.221667	0.199667	0.202667	0.197666667	0.188667	0.203
01:20	0.235	0.213875	0.228	0.193083	0.215571	0.208	0.209833	0.2206	0.20075	0.216692	0.16775	0.18125	0.19675	0.2291	0.211571	0.193	0.21075	0.211833	0.17425	0.204667	0.21075	0.201	0.2155	0.20225	0.195833	0.193143	0.211	0.211125	0.210333	0.202333	0.215	0.216333	0.211333	0.203333	0.232	0.230222	0.220444	0.227333	0.217444	0.213111	0.236667	0.2008	0.1976	0.1964	0.17675	0.18175	0.2006	0.209666667	0.190428571	0.173667	0.20125	0.170333	0.177667	0.186	0.1865	0.206667	0.203667	0.189	0.17625	0.173	0.214333	0.205667	0.193667	0.225667	0.211667	0.184333333	0.191667	0.186667	0.191	0.205667	0.182333	0.206667	0.179667	0.164667	0.196	0.185333	0.215333	0.198	0.201333	0.19	0.197333	0.19	0.224	0.193666667	0.202666667	0.208333333	0.211333333	0.197	0.219	0.2105	0.184333333	0.205666667	0.18	0.19	0.191666667	0.202	0.209	0.237333333	0.200333333	0.216333333	0.181	0.2126667	0.217	0.202	0.223	0.207	0.199666667	0.2045	0.204833333	0.206833333	0.212666667	0.204666667	0.2183333	0.174	0.167	0.198333333	0.197	0.191666667	0.1925	0.219	0.194333333	0.202	0.196	0.224	0.190333	0.195667	0.164333	0.212	0.186	0.208667	0.204167	0.180667	0.200333	0.167	0.176	0.187	0.181	0.208	0.206333	0.191667	0.211	0.173	0.211	0.212333	0.193333	0.224	0.219666667	0.189	0.193	0.189333	0.19	0.21	0.182333	0.208	0.209	0.200333	0.202667	0.216	0.231	0.205667	0.205333	0.203166667	0.196	0.207667
01:40	0.251429	0.224125	0.2422	0.203667	0.226571	0.2165	0.220333	0.2356	0.2075	0.229231	0.1755	0.19075	0.20475	0.2448	0.221143	0.202	0.22375	0.221833	0.18575	0.219667	0.226	0.21425	0.2285	0.21175	0.205333	0.201429	0.222375	0.221672	0.219667	0.211667	0.225667	0.23	0.228	0.213667	0.245222	0.243333	0.234444	0.237667	0.227556	0.218667	0.249778	0.1978	0.193	0.1936	0.17025	0.17575	0.1954	0.209666667	0.185428571	0.166667	0.2055	0.171333	0.173333	0.198	0.18325	0.2145	0.206667	0.192667	0.16375	0.173	0.222333	0.206	0.193333	0.234333	0.21	0.179666667	0.191667	0.183333	0.186333	0.215	0.179667	0.206667	0.167	0.148	0.200333	0.168	0.204	0.190333	0.2	0.189	0.201667	0.176667	0.224333333	0.187	0.196333333	0.2	0.199	0.195	0.221666667	0.208833333	0.176333333	0.217	0.191	0.202666667	0.202666667	0.213333333	0.217833333	0.250666667	0.209666667	0.227333333	0.187333333	0.2243333	0.218	0.2053333	0.235333333	0.199	0.206	0.213166667	0.2145	0.217333333	0.219333333	0.212666667	0.227	0.165	0.150333333	0.202666667	0.18	0.1835	0.1805	0.230666667	0.197	0.212	0.186	0.23	0.193333	0.198333	0.166667	0.208333	0.186	0.218	0.205667	0.176667	0.203	0.169	0.173333	0.198667	0.176667	0.217333333	0.207	0.197333	0.215333	0.173333	0.219333	0.213	0.195	0.238667	0.230333333	0.187333	0.196333333	0.1885	0.186833	0.219667	0.179333	0.209667	0.212	0.203	0.21	0.217333	0.234	0.210667	0.206	0.205666667	0.202333	0.209667
02:00	0.266857	0.234625	0.2564	0.214167	0.236857	0.226	0.2325	0.2557	0.21825	0.241846	0.1855	0.20075	0.21375	0.2591	0.233286	0.209	0.23525	0.231167	0.19725	0.230333	0.24025	0.22775	0.242	0.22325	0.2155	0.208857	0.23175	0.232094	0.236333	0.224	0.234667	0.25	0.250667	0.229	0.258778	0.258111	0.249111	0.248778	0.236778	0.226111	0.266444	0.1898	0.1862	0.191	0.16075	0.1745	0.1904	0.203	0.179	0.163667	0.20475	0.170333	0.169667	0.208333	0.17875	0.216333	0.199667	0.187333	0.15625	0.166667	0.225	0.200333	0.183	0.251333	0.201333	0.173166667	0.1895	0.178333	0.183833	0.223667	0.174	0.202	0.163333	0.143667	0.199	0.153333	0.194667	0.181	0.198667	0.178333	0.206	0.167	0.211666667	0.172	0.185333333	0.174	0.173666667	0.192666667	0.211666667	0.198333333	0.165	0.225666667	0.198333333	0.215666667	0.212333333	0.226333333	0.226	0.260333333	0.222	0.234333333	0.191333333	0.2343333	0.207333333	0.1973333	0.249333333	0.189333333	0.206666667	0.222166667	0.224333333	0.228166667	0.224666667	0.221	0.2366667	0.147333333	0.137333333	0.199666667	0.162833333	0.172666667	0.170666667	0.239166667	0.189	0.218333333	0.166	0.233	0.192667	0.199333	0.166667	0.208	0.184333	0.218667	0.206	0.170667	0.203	0.167667	0.171667	0.210333	0.173	0.22	0.200667	0.197	0.211	0.174333	0.222	0.208	0.19	0.253333	0.239666667	0.1825	0.197166667	0.186833	0.182	0.232333	0.17	0.208667	0.213	0.202	0.217667	0.215	0.228333	0.213333	0.202333	0.203833333	0.206	0.207333
02:20	0.284	0.243125	0.2714	0.225833	0.246286	0.2385	0.241833	0.2743	0.22775	0.255923	0.19475	0.2095	0.2245	0.2772	0.246286	0.217429	0.24775	0.240333	0.208	0.246	0.255	0.241	0.259	0.23525	0.2245	0.216429	0.24325	0.243406	0.256667	0.233	0.247333	0.269333	0.273	0.243667	0.277444	0.274444	0.268556	0.260333	0.247556	0.232556	0.282222	0.1832	0.1804	0.1872	0.1525	0.17325	0.185	0.196333333	0.172571429	0.164333	0.203	0.167667	0.168	0.217	0.1695	0.216	0.182667	0.182333	0.14975	0.162	0.221	0.190333	0.173	0.263	0.189667	0.1645	0.186833	0.1745	0.176667	0.226333	0.170333	0.198333	0.155667	0.141667	0.193667	0.146	0.187333	0.176667	0.189667	0.166667	0.210333	0.160333	0.193333333	0.148666667	0.164333333	0.150333333	0.161	0.19	0.186	0.188666667	0.158333333	0.234	0.206333333	0.224	0.222333333	0.238333333	0.231833333	0.267333333	0.228333333	0.239666667	0.188	0.2453333	0.197333333	0.1843333	0.266333333	0.182666667	0.2	0.223666667	0.233333333	0.237333333	0.234	0.232666667	0.248	0.137666667	0.128333333	0.191666667	0.144166667	0.1615	0.157333333	0.2495	0.168333333	0.224333333	0.152333333	0.232	0.188333	0.196333	0.164667	0.196667	0.181667	0.216333	0.205	0.167667	0.202333	0.164333	0.169	0.218667	0.168333	0.222333333	0.189333	0.196	0.202	0.174333	0.220667	0.206	0.183667	0.266333	0.249	0.174167	0.196833333	0.181333	0.176667	0.245333	0.165667	0.209	0.210667	0.2	0.222667	0.208333	0.222667	0.212333	0.2	0.198166667	0.211	0.202667
02:40	0.304	0.25375	0.2897	0.237	0.259	0.246	0.2545	0.2966	0.239	0.270462	0.203	0.2185	0.2345	0.2987	0.263143	0.227	0.26125	0.250833	0.21825	0.257667	0.2705	0.25475	0.27275	0.2445	0.236	0.224857	0.25375	0.253094	0.287	0.246333	0.259667	0.302667	0.304333	0.264667	0.296778	0.295889	0.297222	0.272778	0.258667	0.239333	0.303667	0.1812	0.1722	0.1852	0.149	0.1735	0.18	0.188	0.168285714	0.164333	0.197	0.166	0.165333	0.228667	0.16425	0.210333	0.172667	0.167333	0.144	0.154	0.214667	0.181333	0.167	0.275667	0.181667	0.1575	0.182	0.173	0.165667	0.228667	0.168	0.193	0.148667	0.141	0.182333	0.141667	0.181667	0.172333	0.184	0.155667	0.215	0.158333	0.172333333	0.141666667	0.15	0.139666667	0.143666667	0.188666667	0.167333333	0.170666667	0.160333333	0.243333333	0.215666667	0.233333333	0.232333333	0.249666667	0.233166667	0.282666667	0.227	0.242	0.180666667	0.2526667	0.188666667	0.1753333	0.288666667	0.17	0.1895	0.221833333	0.2405	0.2465	0.233666667	0.244333333	0.2583333	0.134666667	0.125333333	0.179333333	0.135833333	0.152166667	0.1455	0.2605	0.146333333	0.225666667	0.145333333	0.226667	0.184	0.193333	0.159	0.192333	0.178333	0.212	0.202833	0.165667	0.199667	0.159667	0.167	0.227333	0.167667	0.221666667	0.179	0.188	0.197667	0.171	0.219333	0.204	0.179333	0.277333	0.258333333	0.165	0.192833333	0.181333	0.168167	0.261333	0.163333	0.203667	0.208667	0.195333	0.223333	0.204333	0.220333	0.208	0.192	0.1925	0.217333	0.198667
03:00	0.333143	0.265375	0.3093	0.24875	0.270286	0.2575	0.268	0.3196	0.24875	0.287	0.21125	0.2265	0.24425	0.3261	0.279714	0.235857	0.2745	0.261667	0.22975	0.275667	0.29225	0.27225	0.29025	0.2565	0.251167	0.234286	0.264375	0.263172	0.320667	0.258	0.276333	0.347667	0.349	0.282333	0.321222	0.316444	0.325667	0.286	0.273111	0.247444	0.324	0.177	0.1686	0.1798	0.1485	0.17325	0.1764	0.182	0.163	0.163667	0.1875	0.163	0.162	0.239	0.15925	0.204833	0.163333	0.159667	0.14	0.152	0.207333	0.186667	0.172667	0.286333	0.174	0.1495	0.177167	0.170167	0.160833	0.228667	0.164	0.186667	0.142667	0.137	0.173667	0.141	0.178333	0.168333	0.179	0.148667	0.221	0.156333	0.159333333	0.138	0.147	0.138666667	0.134666667	0.19	0.154666667	0.159833333	0.16	0.256333333	0.224333333	0.241666667	0.240666667	0.255	0.232833333	0.290666667	0.229333333	0.230333333	0.173333333	0.2586667	0.178666667	0.1666667	0.319	0.163333333	0.175166667	0.219	0.242833333	0.256666667	0.233333333	0.251666667	0.2723333	0.132	0.124	0.166666667	0.132333333	0.145833333	0.138666667	0.2735	0.133666667	0.226333333	0.142666667	0.217	0.178667	0.188	0.149	0.173333	0.172667	0.21	0.198167	0.165667	0.197333	0.155	0.163667	0.236	0.165	0.218	0.17	0.188667	0.192	0.167667	0.215333	0.198667	0.175667	0.287333	0.266333333	0.1565	0.184666667	0.179167	0.161667	0.283667	0.160667	0.197667	0.204667	0.193	0.224333	0.198	0.214333	0.204333	0.186333	0.183333333	0.224	0.195667
