bacteria	untreated	S	H	HS	HSPh	HSFPh	HSN	HSF	HSPo	HSFPo
Aci1	66.085	33.365	13.175	14.105	6.885	3.22	2.904	2.122	14.525	4.005
Aci3	61.205	36.195	22.425	21.545	4.145	2.113	4.385	0.355	11.235	5.555
Aci15	64.305	33.445	13.095	13.305	8.125	2.662	5.195	4.565	21.985	4.775
Aci20	45.745	44.265	17.045	22.725	8.135	1.852	3.453	5.645	24.935	5.755
Aci30	60.145	35.205	18.365	22.075	13.295	2.685	3.111	11.335	32.205	4.055
Aci36	60.815	32.515	32.575	15.575	7.305	2.754	5.165	3.795	13.415	4.595
Aci56	61.555	38.615	15.515	8.515	4.865	2.509	3.518	8.185	22.945	3.945
Aci59	64.215	35.145	38.445	28.385	9.745	4.045	2.812	0.151	9.315	3.131
Aci60	61.965	42.255	15.875	15.285	3.01	2.001	4.565	0.65	18.005	4.965
Aci71	57.515	39.235	19.515	22.985	4.175	5.355	6.135	1.556	5.325	4.325
Aci105	22.255	5.615	12.705	5.765	5.235	2.644	4.075	1.301	6.785	5.515
Aci106	59.775	41.625	31.325	35.235	5.015	3.493	4.015	1.321	5.345	5.705
Aci107	46.815	17.605	32.195	16.605	5.035	3.018	6.215	1.112	7.385	6.125
Aci108	61.975	28.625	25.455	12.645	4.975	5.065	2.674	0	2.957	9.755
Aci109	54.455	10.405	15.745	11.055	3.319	2.499	3.25	0.399	16.795	2.828
Aci110	47.035	36.125	17.425	16.685	3.458	3.06	7.375	3.479	7.135	4.155
Aci128	26.295	16.325	19.415	12.735	6.655	2.64	2.571	10.165	30.045	5.105
Aci134	61.085	14.215	13.665	20.455	15.705	3.249	4.095	0.62	10.935	5.025
Aci138	54.065	21.195	17.295	24.485	2.934	1.069	6.145	2.617	5.855	3.699
Aci147	60.685	12.975	19.045	7.925	5.355	3.137	6.135	2.039	8.555	6.175
Aci151	63.915	23.565	20.165	12.875	5.105	1.718	6.835	2.295	7.725	4.425
Aci153	62.955	21.335	18.645	14.745	5.535	2.807	7.075	3.1	8.635	5.245
Aci154	34.745	9.885	12.335	7.315	5.435	6.125	3.323	0.282	7.125	6.455
Aci161	59.685	43.435	16.145	13.835	3.865	4.545	8.915	1.866	7.905	3.732
Aci163	60.315	15.575	14.735	10.555	4.095	3.537	10.105	2.91	9.585	6.945
Aci164	49.715	13.975	17.615	10.965	9.585	2.875	4.715	1.45	5.335	6.875
Aci276	52.175	15.165	13.125	13.395	5.335	3.358	4.865	1.502	5.355	2.943
Aci298	58.735	15.015	15.565	15.525	5.355	4.085				3.835
Aci70	69.255	65.165	19.315	18.705		5.915				5.165
Aci79	29.965	12.005	11.405	11.065		3.413				2.824
Aci84	61.515	37.455	28.215	22.925		3.171				2.781
Aci97	66.715	28.065	23.035	15.725		1.76				1.711
Aci156	68.425	24.815	10.645	9.755		2.424				1.928
Aci162	65.265	39.785	15.555	16.535		2.541				2.526
Aci368	61.345	19.885	13.525	12.255		5.565				2.106
Aci369	61.125	16.615	19.425	14.155		5.805				1.564
Aci303	62.115	19.435	8.835	10.155		5.245				1.762
Aci318	51.055	10.575	12.725	11.235		5.795				2.792
Aci330	60.405	24.675	16.935	13.505		4.915				2.046
Aci331	44.575	38.985	16.645	14.545		6.885				4.815
Aci129	63.695	13.475	17.725	12.195		1.774				2.782
