.y.	group1	group2	statistic	p	parameter	p.adj	p.adj.signif
Area	untreated	S	46.65314679300184	8.473080977653306e-12	1	2.1182702444133266e-11	****
Area	untreated	H	58.1844928793102	2.3865286875333638e-14	1	1.0739379093900138e-13	****
Area	untreated	HS	59.32185374454389	1.3388145003663216e-14	1	6.694072501831608e-14	****
Area	untreated	HSPh	49.20089881071995	2.3104481672647145e-12	1	9.451833411537469e-12	****
Area	untreated	HSFPh	60.75903614457832	6.4506342720717314e-15	1	6.694072501831608e-14	****
Area	untreated	HSN	48.13135342507586	3.986015394767851e-12	1	1.3804211407079622e-11	****
Area	untreated	HSF	48.13043478260869	3.987883295378557e-12	1	1.3804211407079622e-11	****
Area	untreated	HSPo	46.74918502808211	8.067848152961689e-12	1	2.1182702444133266e-11	****
Area	untreated	HSFPo	60.75903614457832	6.4506342720717314e-15	1	6.694072501831608e-14	****
Area	S	H	7.510181117091804	0.00613512021243406	1	0.006899750574063292	**
Area	S	HS	17.03178589252156	3.675928087017429e-5	1	5.16927387236826e-5	****
Area	S	HSPh	45.00843795132214	1.9618726101710917e-11	1	4.204012736080911e-11	****
Area	S	HSFPh	60.03829476143716	9.302961588953433e-15	1	6.694072501831608e-14	****
Area	S	HSN	46.40790039823238	9.602754729409132e-12	1	2.2743366464390048e-11	****
Area	S	HSF	46.74918502808211	8.067848152961689e-12	1	2.1182702444133266e-11	****
Area	S	HSPo	22.985153764581156	1.6325730976133177e-6	1	2.6237781925928323e-6	****
Area	S	HSFPo	59.60791410735146	1.157686798865547e-14	1	6.694072501831608e-14	****
Area	H	HS	6.4806734373543975	0.010905365784495143	1	0.011684320483387653	*
Area	H	HSPh	44.844622116495444	2.1330590830340398e-11	1	4.3630753971150814e-11	****
Area	H	HSFPh	60.75903614457832	6.4506342720717314e-15	1	6.694072501831608e-14	****
Area	H	HSN	47.78414912340547	4.758235407751826e-12	1	1.5294328096345155e-11	****
Area	H	HSF	47.610109579356646	5.199963263135769e-12	1	1.5599889789407307e-11	****
Area	H	HSPo	14.662464160873498	1.2858153925482846e-4	1	1.6531912189906518e-4	***
Area	H	HSFPo	60.61454383865021	6.941922469812191e-15	1	6.694072501831608e-14	****
Area	HS	HSPh	39.4525873271406	3.361220886475517e-10	1	6.302289162141595e-10	****
Area	HS	HSFPh	60.03829476143716	9.302961588953433e-15	1	6.694072501831608e-14	****
Area	HS	HSN	45.22017889568576	1.7608141957185734e-11	1	3.96183194036679e-11	****
Area	HS	HSF	44.71501512116572	2.2790288037497934e-11	1	4.4589693986409e-11	****
Area	HS	HSPo	7.466306440082952	0.006286439411924333	1	0.006899750574063292	**
Area	HS	HSFPo	59.393950752306885	1.2906521514587029e-14	1	6.694072501831608e-14	****
Area	HSPh	HSFPh	19.732850200952385	8.905727691877962e-6	1	1.292766923014543e-5	****
Area	HSPh	HSN	2.8918572047089834	0.08902824358751939	1	0.09105161275996301	ns
Area	HSPh	HSF	19.9057634526086	8.135469633594655e-6	1	1.2203204450391982e-5	****
Area	HSPh	HSPo	14.737883895710269	1.2353886183110618e-4	1	1.6350731712940522e-4	***
Area	HSPh	HSFPo	8.49442434235021	0.003562364693191514	1	0.004218589768253108	**
Area	HSFPh	HSN	11.241917561720108	7.997049243078947e-4	1	9.726140971312233e-4	***
Area	HSFPh	HSF	8.274655355249195	0.004020229298728391	1	0.004638726113917374	**
Area	HSFPh	HSPo	39.1195558010078	3.9863103817595066e-10	1	7.175358687167112e-10	****
Area	HSFPh	HSFPo	3.8110890277483356	0.050914336907363585	1	0.05328244560072934	ns
Area	HSN	HSF	15.559435316840123	7.99516368776148e-5	1	1.0902495937856562e-4	***
Area	HSN	HSPo	22.388358053868412	2.2271997976984266e-6	1	3.455999686083765e-6	****
Area	HSN	HSFPo	1.8666122371510112	0.17186358904396362	1	0.17186358904396362	ns
Area	HSF	HSPo	28.668986157875054	8.58679639027221e-8	1	1.4311327317120352e-7	****
Area	HSF	HSFPo	13.625584226856773	2.2312404216743683e-4	1	2.7890505270929605e-4	***
Area	HSPo	HSFPo	34.33584698165825	4.637606059114705e-9	1	8.026625871544682e-9	****
