A105-1	A107-E1	A108-1	A108-9	A110-1	A110-19	A110-2	A110-G1	A15-3	A15-4	A15-1	A71-1	A71-1-5	A71-16	Aci 107	Aci 110	Aci 15	Aci 202	Aci 207	Aci 322	Aci 71
0																				
0.69288367	0																			
0.78338393	0.36558569	0																		
0.73821871	0.07288061	0.3626547	0																	
0.40388118	0.54946538	0.70435454	0.5967258	0																
0.73353744	0.3317216	0.08886166	0.32594731	0.64781652	0															
0.79953528	0.40963281	0.08797642	0.39726444	0.73885527	0.0974722	0														
0.75979526	0.19290441	0.19722351	0.17158182	0.64426467	0.16774295	0.22901893	0													
0.75294264	0.32761102	0.06223748	0.32518668	0.67253149	0.05765749	0.09916976	0.16292054	0												
0.77802032	0.36079504	0.02947691	0.35621637	0.70226604	0.07883058	0.08226413	0.19134454	0.04634674	0											
0.3487165	0.63540896	0.82733476	0.69720908	0.34033158	0.78654996	0.86685921	0.76168113	0.79502135	0.82732199	0										
0.79057859	0.37289249	0.07153286	0.36151171	0.71234282	0.06691107	0.0462807	0.1928842	0.06366959	0.06072118	0.84423585	0									
0.77597165	0.55092515	0.42361742	0.54413129	0.72162276	0.40705657	0.41466046	0.4567171	0.44415182	0.44068093	0.84221248	0.42749091	0								
0.57085609	0.1278476	0.40127685	0.17860783	0.43429334	0.35211051	0.44048499	0.262502	0.35966075	0.3956645	0.52659462	0.40720669	0.5407305	0							
0.35050279	0.42518359	0.62058013	0.48610924	0.26139126	0.57866907	0.66381084	0.54711862	0.58800268	0.6192597	0.22951759	0.63892277	0.67346749	0.31148386	0						
0.39521575	0.56194316	0.66983375	0.60515044	0.09217435	0.612441	0.69973044	0.63045627	0.64151056	0.66809959	0.39759703	0.67671571	0.6750723	0.44730936	0.30265764	0					
0.2806232	0.6158263	0.76497242	0.67616816	0.30278165	0.72239964	0.79948249	0.71852181	0.73382825	0.76498083	0.11039157	0.77983246	0.77675437	0.50113816	0.21121719	0.33852953	0				
0.37122551	0.61356839	0.78890377	0.66889686	0.27999639	0.75180552	0.83720327	0.73185037	0.76635002	0.78931917	0.27761371	0.8152731	0.78833991	0.50551245	0.24500553	0.31937627	0.28805712	0			
0.40108663	0.36390548	0.5430273	0.4192973	0.28860382	0.50442428	0.59113409	0.47293459	0.51656546	0.54219936	0.35564635	0.56692748	0.59796135	0.25564778	0.13756059	0.30599857	0.32985638	0.26114068	0		
0.48305329	0.57278153	0.71678075	0.62753591	0.37285254	0.69593559	0.7766637	0.67595963	0.7053188	0.72032643	0.40906214	0.75561335	0.73468595	0.48777102	0.30608999	0.39090205	0.40852587	0.17929319	0.25197192	0	
0.45077632	0.51622352	0.71410406	0.56288028	0.10711233	0.6605182	0.75484326	0.63318641	0.68295198	0.71230184	0.34900586	0.72575515	0.73197118	0.4075192	0.24953988	0.17840882	0.33996094	0.24607289	0.25817956	0.32774899	0
