assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	downsampled
GCF_006492265.1	SAMN12087643	115.77	Acinetobacter baumannii	MRSN480561	TRUE	2017	Afghanistan		NCBI	4198708	0.389	0	164	170665	74082	9876	99.6	470	Acinetobacter baumannii	84.76	ST25	7	KL14	Very high	OCL6	Very high	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-64|blaPER-7					mph(E)|msr(E)				cmlA1			ARR-2	sul1|sul2			TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	AF	ST25-KL14	2017-05-17	2017	TRUE	TRUE
GCF_006492585.1	SAMN12087644	112.67	Acinetobacter baumannii	MRSN480622	TRUE	2017	Afghanistan		NCBI	3819538	0.389	0	98	214689	87659	16673	99.7	470	Acinetobacter baumannii	85.71	ST215	7	KL45	High	OCL5	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	AF	ST215-KL45	2017-12-28	2017	TRUE	TRUE
GCF_021019455.1	SAMN21245944	30	Acinetobacter baumannii	MRSN571146	TRUE	2018	Afghanistan		NCBI	3924955	0.391	0	68	506371	156515	30887	99.7	470	Acinetobacter baumannii	76.47	ST1	7	KL17	Very high	OCL1	Very high	aac(3)-Ia|aph(3'')-Ib|aph(3')-Ia	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-69													sul1|sul2	tet(B)	dfrA1	TRUE	TRUE	TRUE	blaNDM-1|blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Southern Asia	AF	ST1-KL17	2018-01-01	2018	TRUE	TRUE
GCF_021019495.1	SAMN21245945	30	Acinetobacter baumannii	MRSN576822	TRUE	2018	Afghanistan		NCBI	3953402	0.391	0	71	360923	145021	30274	99.8	470	Acinetobacter baumannii	78.87	ST1	7	KL17	Very high	OCL1	Very high	aac(3)-Ia|aph(3'')-Ib|aph(3')-Ia	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-69													sul1|sul2	tet(B)	dfrA1	TRUE	TRUE	TRUE	blaNDM-1|blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Southern Asia	AF	ST1-KL17	2018-11-26	2018	TRUE	TRUE
GCA_021573235.1	SAMN24967501	59	Acinetobacter baumannii	AL08001_AB_700	TRUE	2018	Albania	tirana	NCBI	3986012	0.389	503	109	286604	78117	13278	99.7	470	Acinetobacter baumannii	91.74	ST1	7	KL40	Very high	OCL2	Very high	aph(3')-VIa|armA	blaADC-25|blaOXA-23|blaOXA-69					mph(E)|msr(E)											TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Southern Europe	AL	ST1-KL40	2018-01-08	2018	TRUE	TRUE
GCF_006843645.1	SAMN09906510	349	Acinetobacter baumannii	UPAB1	TRUE	2016	Argentina	buenos_aires	NCBI	4136114	0.391	0	6	3880245	3880245	100163	99.2	470	Acinetobacter baumannii	100	ST25	7	KL149	High	OCL5	High	aac(3)-IIa|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2			TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	AR	ST25-KL149	2016-11-13	2016	TRUE	TRUE
GCF_024649355.1	SAMN30153759	119	Acinetobacter baumannii	AMA_NO	TRUE	2021	Argentina		NCBI	4078010	0.39	0	79	334907	125130	22346	99.7	470	Acinetobacter baumannii	62.03	ST2	7	KL2	Very high	OCL5	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-VI|aph(6)-Id	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-66					mph(E)|msr(E)				cmlB1|floR				sul1|sul2	tet(B)		TRUE	FALSE	TRUE	blaNDM-1|blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	AR	ST2-KL2	2021-08-19	2021	TRUE	TRUE
GCF_024649375.1	SAMN30153760	148	Acinetobacter baumannii	AMA166	TRUE	2016	Argentina		NCBI	3823583	0.39	0	38	377509	220435	42602	99.8	470	Acinetobacter baumannii	81.58	ST2	7	KL2	Very high	OCL5	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66													sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	AR	ST2-KL2	2016-04-09	2016	TRUE	TRUE
GCA_016487805.1	SAMN14867397	127	Acinetobacter baumannii	MS14407	TRUE	2016	Australia	brisbane	NCBI	4137376	0.391	0	244	171074	35730	5458	99.8	470	Acinetobacter baumannii	88.11	ST2	7	KL12	Good	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catB8				sul1|sul2			TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST2-KL12	2016-06-19	2016	TRUE	TRUE
GCA_016487825.1	SAMN14867399	118	Acinetobacter baumannii	MS14410	TRUE	2016	Australia	brisbane	NCBI	4008028	0.391	0	204	123103	50550	7193	99.8	470	Acinetobacter baumannii	86.27	ST2	7	KL12	Good	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catB8				sul1|sul2			TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST2-KL12	2016-01-03	2016	TRUE	TRUE
