	Aci4	Aci72	Aci111_AB239	Aci112_AB193	Aci125_Belgrade4	Aci126_Belgrade5	Aci127_Belgrade7	Aci184	Aci191	Aci200	Aci217	Aci222	Aci223	Aci240	Aci248	Aci255	Aci267	Aci273	Aci332	Aci337	Aci338	Aci342	Aci361	Aci362	Aci365	GCF_022460745.2	GCF_022459115.2	GCF_022468855.2	GCF_022468835.2	GCF_022460435.2	GCF_022460875.2
Aci4	0	0.666666666666667	0	0.666666666666667	0.5	1	0.5	1	1	1	1	1	1	0.5	0.666666666666667	1	1	0.666666666666667	1	1	1	0.666666666666667	0.333333333333333	0.75	0.5	1	1	1	1	0.75	1
Aci72	0.666666666666667	0	0.666666666666667	0	1	1	1	1	1	1	1	1	1	1	0.666666666666667	1	1	1	1	1	1	0.666666666666667	0.75	1	1	1	1	1	1	0.75	1
Aci111_AB239	0	0.666666666666667	0	0.666666666666667	0.5	1	0.5	1	1	1	1	1	1	0.5	0.666666666666667	1	1	0.666666666666667	1	1	1	0.666666666666667	0.333333333333333	0.75	0.5	1	1	1	1	0.75	1
Aci112_AB193	0.666666666666667	0	0.666666666666667	0	1	1	1	1	1	1	1	1	1	1	0.666666666666667	1	1	1	1	1	1	0.666666666666667	0.75	1	1	1	1	1	1	0.75	1
Aci125_Belgrade4	0.5	1	0.5	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0.5	1	1	1	1	0.666666666666667	0.666666666666667	0	1	1	1	1	1	1
Aci126_Belgrade5	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Aci127_Belgrade7	0.5	1	0.5	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0.5	1	1	1	1	0.666666666666667	0.666666666666667	0	1	1	1	1	1	1
Aci184	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci191	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci200	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci217	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci222	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci223	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci240	0.5	1	0.5	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0.5	1	1	1	1	0.666666666666667	0.666666666666667	0	1	1	1	1	1	1
Aci248	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0.666666666666667	0.75	1	1	1	1	1	1	0.75	1
Aci255	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.8	1
Aci273	0.666666666666667	1	0.666666666666667	1	0.5	1	0.5	1	1	1	1	1	1	0.5	1	1	1	0	1	1	1	1	0.75	0.75	0.5	1	1	1	1	1	1
Aci332	1	1	1	1	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	1	0	0.5	0.5	0.666666666666667	1	1	1	1	0.75	1	1	1	1
Aci337	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci338	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0.5	0	0	1	1	1	1	1	0.666666666666667	1	1	1	1
Aci342	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	1	1	1	1	1	1	1	1	1	1	0.666666666666667	1	1	1	0.666666666666667	1	1	0	0.75	1	1	1	1	1	1	0.75	1
Aci361	0.333333333333333	0.75	0.333333333333333	0.75	0.666666666666667	1	0.666666666666667	1	1	1	1	1	1	0.666666666666667	0.75	1	1	0.75	1	1	1	0.75	0	0.5	0.666666666666667	1	1	1	1	0.8	1
Aci362	0.75	1	0.75	1	0.666666666666667	1	0.666666666666667	1	1	1	1	1	1	0.666666666666667	1	1	1	0.75	1	1	1	1	0.5	0	0.666666666666667	1	1	1	1	1	1
Aci365	0.5	1	0.5	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0.5	1	1	1	1	0.666666666666667	0.666666666666667	0	1	1	1	1	1	1
GCF_022460745.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
GCF_022459115.2	1	1	1	1	1	1	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	1	1	0.666666666666667	1	1	0.75	0.666666666666667	0.666666666666667	1	1	1	1	1	0	0.666666666666667	1	1	1
GCF_022468855.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.666666666666667	0	1	1	1
